Link;Titulo;Data da Postagem
https://www.palmeiras.com.br/noticias/joao-lima-e-mariana-franco-sobem-ao-podio-no-tmb-platinum-ciclo-iii-de-tenis-de-mesa/;João Lima e Mariana Franco sobem ao pódio no TMB Platinum Ciclo III de Tênis de Mesa;19/09/2023 18:58
https://www.palmeiras.com.br/noticias/verdao-ganha-sete-jogos-e-empata-um-pelo-estadual-de-futsal/;Verdão ganha sete jogos e empata um pelo Estadual de Futsal;19/09/2023 18:36
https://www.palmeiras.com.br/noticias/verdao-visita-fluminense-no-jogo-de-ida-das-quartas-do-brasileiro-sub-17/;Verdão visita Fluminense no jogo de ida das quartas do Brasileiro Sub-17;19/09/2023 17:21
https://www.palmeiras.com.br/noticias/verdao-da-sequencia-a-preparacao-e-mayke-valoriza-elenco-todos-serao-importantes/;Verdão dá sequência à preparação e Mayke valoriza elenco: 'Todos serão importantes';19/09/2023 13:15
https://www.palmeiras.com.br/noticias/luis-guilherme-treina-com-o-elenco-e-kevin-valoriza-chances-recebidas-momento-maravilhoso/;Luis Guilherme treina com o elenco e Kevin valoriza chances recebidas: 'Momento maravilhoso';18/09/2023 14:19
https://www.palmeiras.com.br/noticias/socio-avanti-tera-prioridade-na-compra-de-ingressos-para-jogo-contra-boca-juniors-na-argentina-entenda/;Sócio Avanti terá prioridade na compra de ingressos para jogo contra Boca Juniors na Argentina; entenda;18/09/2023 12:09
https://www.palmeiras.com.br/noticias/sub-14-do-palestra-empata-com-corinthians-fora-de-casa-e-segue-invicto-no-paulista/;Sub-14 do Palestra empata com Corinthians fora de casa e segue invicto no Paulista;18/09/2023 10:56
https://www.palmeiras.com.br/noticias/sub-11-e-sub-13-vencem-ec-sao-bernardo-e-sao-caetano-pela-segunda-fase-do-paulista/;Sub-11 e Sub-13 vencem EC São Bernardo e São Caetano pela segunda fase do Paulista;17/09/2023 20:14
https://www.palmeiras.com.br/noticias/palmeiras-goleia-agua-santa-e-se-isola-na-lideranca-do-paulista-sub-20/;Palmeiras goleia Água Santa e se isola na liderança do Paulista Sub-20;17/09/2023 12:56
https://www.palmeiras.com.br/noticias/invictas-categorias-de-iniciacao-batem-corinthians-e-rsfc-e-se-sagram-campeas-do-paulista-de-futsal/;Invictas, categorias de iniciação batem Corinthians e RSFC e se sagram campeãs do Paulista de Futsal;16/09/2023 15:34
https://www.palmeiras.com.br/noticias/palmeiras-recebe-agua-santa-pelo-campeonato-paulista-sub-20/;Palmeiras recebe Água Santa pelo Campeonato Paulista Sub-20;16/09/2023 14:41
https://www.palmeiras.com.br/noticias/sub-15-empata-com-ponte-preta-e-segue-na-lideranca-do-campeonato-paulista/;Sub-15 empata com Ponte Preta e segue na liderança do Campeonato Paulista;16/09/2023 14:08
https://www.palmeiras.com.br/noticias/verdao-se-reapresenta-apos-vitoria-com-treino-coletivo-na-academia-de-futebol/;Verdão se reapresenta após vitória com treino coletivo na Academia de Futebol;16/09/2023 12:24
https://www.palmeiras.com.br/noticias/palmeiras-vence-goias-e-alcanca-quatro-jogos-de-invencibilidade-diante-do-rival/;Palmeiras vence Goiás e alcança quatro jogos de invencibilidade diante do rival;16/09/2023 00:27
https://www.palmeiras.com.br/noticias/em-ribeirao-preto-sp-juliana-yamasaki-e-campea-dos-jogos-da-juventude-na-categoria-individual/;Em Ribeirão Preto, Juliana Yamasaki é campeã dos Jogos da Juventude na categoria individual;15/09/2023 17:07
https://www.palmeiras.com.br/noticias/com-cinco-atletas-verdao-e-destaque-da-convocacao-da-selecao-sub-17/;Com cinco atletas, Verdão é destaque da convocação da Seleção Sub-17;15/09/2023 14:53
